Time,Time Code,Country,Country Code,"Agr: Food, 2010=100, real 2010$ [KIFOOD]","Agr: Food: Grains, 2010=100, real 2010$ [KIGRAINS]","Agr: Raw materials, 2010=100, real 2010$ [KIRAW_MATERIAL]"
1985M12,1985M12,World,WLD,..,..,..
1986,1986,World,WLD,62.65831304272,65.30290535832,58.73209919408
1986M01,1986M01,World,WLD,..,..,..
1986M02,1986M02,World,WLD,..,..,..
1986M03,1986M03,World,WLD,..,..,..
1986M04,1986M04,World,WLD,..,..,..
1986M05,1986M05,World,WLD,..,..,..
1986M06,1986M06,World,WLD,..,..,..
1986M07,1986M07,World,WLD,..,..,..
1986M08,1986M08,World,WLD,..,..,..
1986M09,1986M09,World,WLD,..,..,..
1986M10,1986M10,World,WLD,..,..,..
1986M11,1986M11,World,WLD,..,..,..
1986M12,1986M12,World,WLD,..,..,..
1987,1987,World,WLD,61.09418893386,58.38435222837,67.53708719619
1987M01,1987M01,World,WLD,..,..,..
1987M02,1987M02,World,WLD,..,..,..
1987M03,1987M03,World,WLD,..,..,..
1987M04,1987M04,World,WLD,..,..,..
1987M05,1987M05,World,WLD,..,..,..
1987M06,1987M06,World,WLD,..,..,..
1987M07,1987M07,World,WLD,..,..,..
1987M08,1987M08,World,WLD,..,..,..
1987M09,1987M09,World,WLD,..,..,..
1987M10,1987M10,World,WLD,..,..,..
1987M11,1987M11,World,WLD,..,..,..
1987M12,1987M12,World,WLD,..,..,..
1988,1988,World,WLD,73.10712983226,73.22810503912,62.26045915256
1988M01,1988M01,World,WLD,..,..,..
1988M02,1988M02,World,WLD,..,..,..
1988M03,1988M03,World,WLD,..,..,..
1988M04,1988M04,World,WLD,..,..,..
1988M05,1988M05,World,WLD,..,..,..
1988M06,1988M06,World,WLD,..,..,..
1988M07,1988M07,World,WLD,..,..,..
1988M08,1988M08,World,WLD,..,..,..
1988M09,1988M09,World,WLD,..,..,..
1988M10,1988M10,World,WLD,..,..,..
1988M11,1988M11,World,WLD,..,..,..
1988M12,1988M12,World,WLD,..,..,..
1989,1989,World,WLD,74.42562313001,80.18066639576,70.01073023405
1989M01,1989M01,World,WLD,..,..,..
1989M02,1989M02,World,WLD,..,..,..
1989M03,1989M03,World,WLD,..,..,..
1989M04,1989M04,World,WLD,..,..,..
1989M05,1989M05,World,WLD,..,..,..
1989M06,1989M06,World,WLD,..,..,..
1989M07,1989M07,World,WLD,..,..,..
1989M08,1989M08,World,WLD,..,..,..
1989M09,1989M09,World,WLD,..,..,..
1989M10,1989M10,World,WLD,..,..,..
1989M11,1989M11,World,WLD,..,..,..
1989M12,1989M12,World,WLD,..,..,..
1990,1990,World,WLD,66.7242321545,70.05095407121,70.52782145538
1990M01,1990M01,World,WLD,..,..,..
1990M02,1990M02,World,WLD,..,..,..
1990M03,1990M03,World,WLD,..,..,..
1990M04,1990M04,World,WLD,..,..,..
1990M05,1990M05,World,WLD,..,..,..
1990M06,1990M06,World,WLD,..,..,..
1990M07,1990M07,World,WLD,..,..,..
1990M08,1990M08,World,WLD,..,..,..
1990M09,1990M09,World,WLD,..,..,..
1990M10,1990M10,World,WLD,..,..,..
1990M11,1990M11,World,WLD,..,..,..
1990M12,1990M12,World,WLD,..,..,..
1991,1991,World,WLD,66.65923920159,70.90092897523,72.27671968962
1991M01,1991M01,World,WLD,..,..,..
1991M02,1991M02,World,WLD,..,..,..
1991M03,1991M03,World,WLD,..,..,..
1991M04,1991M04,World,WLD,..,..,..
1991M05,1991M05,World,WLD,..,..,..
1991M06,1991M06,World,WLD,..,..,..
1991M07,1991M07,World,WLD,..,..,..
1991M08,1991M08,World,WLD,..,..,..
1991M09,1991M09,World,WLD,..,..,..
1991M10,1991M10,World,WLD,..,..,..
1991M11,1991M11,World,WLD,..,..,..
1991M12,1991M12,World,WLD,..,..,..
1992,1992,World,WLD,65.20260686854,69.97209183162,72.55419909516
1992M01,1992M01,World,WLD,..,..,..
1992M02,1992M02,World,WLD,..,..,..
1992M03,1992M03,World,WLD,..,..,..
1992M04,1992M04,World,WLD,..,..,..
1992M05,1992M05,World,WLD,..,..,..
1992M06,1992M06,World,WLD,..,..,..
1992M07,1992M07,World,WLD,..,..,..
1992M08,1992M08,World,WLD,..,..,..
1992M09,1992M09,World,WLD,..,..,..
1992M10,1992M10,World,WLD,..,..,..
1992M11,1992M11,World,WLD,..,..,..
1992M12,1992M12,World,WLD,..,..,..
1993,1993,World,WLD,63.31664470969,63.10998761404,84.25831493062
1993M01,1993M01,World,WLD,..,..,..
1993M02,1993M02,World,WLD,..,..,..
1993M03,1993M03,World,WLD,..,..,..
1993M04,1993M04,World,WLD,..,..,..
1993M05,1993M05,World,WLD,..,..,..
1993M06,1993M06,World,WLD,..,..,..
1993M07,1993M07,World,WLD,..,..,..
1993M08,1993M08,World,WLD,..,..,..
1993M09,1993M09,World,WLD,..,..,..
1993M10,1993M10,World,WLD,..,..,..
1993M11,1993M11,World,WLD,..,..,..
1993M12,1993M12,World,WLD,..,..,..
1994,1994,World,WLD,70.11296561349,70.18554527799,91.31528457378
1994M01,1994M01,World,WLD,..,..,..
1994M02,1994M02,World,WLD,..,..,..
1994M03,1994M03,World,WLD,..,..,..
1994M04,1994M04,World,WLD,..,..,..
1994M05,1994M05,World,WLD,..,..,..
1994M06,1994M06,World,WLD,..,..,..
1994M07,1994M07,World,WLD,..,..,..
1994M08,1994M08,World,WLD,..,..,..
1994M09,1994M09,World,WLD,..,..,..
1994M10,1994M10,World,WLD,..,..,..
1994M11,1994M11,World,WLD,..,..,..
1994M12,1994M12,World,WLD,..,..,..
1995,1995,World,WLD,69.2732739359,75.47538919311,81.67675030606
1995M01,1995M01,World,WLD,..,..,..
1995M02,1995M02,World,WLD,..,..,..
1995M03,1995M03,World,WLD,..,..,..
1995M04,1995M04,World,WLD,..,..,..
1995M05,1995M05,World,WLD,..,..,..
1995M06,1995M06,World,WLD,..,..,..
1995M07,1995M07,World,WLD,..,..,..
1995M08,1995M08,World,WLD,..,..,..
1995M09,1995M09,World,WLD,..,..,..
1995M10,1995M10,World,WLD,..,..,..
